Results of detector A
particle nr, timestamp, detected, detector angle, spin
335, 1372164357231, true, 67.5, 1
336, 1372164357231, true, 0.0, 1
337, 1372164357231, true, 67.5, 1
338, 1372164357231, true, 67.5, -1
339, 1372164357231, true, 67.5, 1
340, 1372164357231, true, 67.5, -1
341, 1372164357231, true, 67.5, 1
342, 1372164357231, true, 67.5, -1
343, 1372164357231, true, 0.0, 1
344, 1372164357231, true, 67.5, 1
345, 1372164357231, true, 0.0, 1
346, 1372164357231, true, 67.5, 1
347, 1372164357231, true, 0.0, 1
348, 1372164357231, true, 67.5, -1
349, 1372164357231, true, 67.5, 1
350, 1372164357231, true, 0.0, 1
351, 1372164357231, true, 0.0, 1
352, 1372164357231, true, 67.5, 1
353, 1372164357231, true, 67.5, 1
354, 1372164357231, true, 0.0, 1
355, 1372164357231, true, 67.5, 1
356, 1372164357231, true, 0.0, 1
357, 1372164357231, true, 67.5, 1
358, 1372164357231, true, 67.5, -1
359, 1372164357231, true, 0.0, 1
360, 1372164357231, true, 0.0, 1
361, 1372164357231, true, 0.0, 1
362, 1372164357231, true, 67.5, -1
363, 1372164357231, true, 0.0, 1
364, 1372164357231, true, 0.0, 1
365, 1372164357231, true, 0.0, 1
366, 1372164357231, true, 0.0, 1
367, 1372164357231, true, 67.5, -1
368, 1372164357231, true, 0.0, 1
369, 1372164357231, true, 67.5, -1
370, 1372164357231, true, 67.5, -1
371, 1372164357231, true, 67.5, 1
372, 1372164357231, true, 67.5, 1
373, 1372164357231, true, 0.0, 1
374, 1372164357231, true, 0.0, 1
375, 1372164357231, true, 67.5, -1
376, 1372164357231, true, 0.0, 1
377, 1372164357231, true, 0.0, 1
378, 1372164357231, true, 67.5, -1
379, 1372164357231, true, 67.5, 1
380, 1372164357231, true, 67.5, 1
381, 1372164357231, true, 0.0, 1
382, 1372164357231, true, 67.5, 1
383, 1372164357231, true, 0.0, 1
384, 1372164357231, true, 67.5, 1
385, 1372164357231, true, 0.0, 1
386, 1372164357231, true, 67.5, 1
387, 1372164357231, true, 0.0, 1
388, 1372164357231, true, 0.0, 1
389, 1372164357231, true, 67.5, 1
390, 1372164357231, true, 67.5, -1
391, 1372164357231, true, 0.0, 1
392, 1372164357231, true, 67.5, -1
393, 1372164357231, true, 0.0, 1
394, 1372164357231, true, 0.0, 1
395, 1372164357231, true, 67.5, 1
396, 1372164357231, true, 0.0, 1
397, 1372164357231, true, 0.0, 1
398, 1372164357231, true, 67.5, 1
399, 1372164357231, true, 0.0, 1
400, 1372164357231, true, 67.5, -1
401, 1372164357231, true, 67.5, -1
402, 1372164357231, true, 67.5, 1
403, 1372164357231, true, 0.0, 1
404, 1372164357231, true, 0.0, 1
405, 1372164357231, true, 67.5, 1
406, 1372164357231, true, 0.0, 1
407, 1372164357231, true, 67.5, -1
408, 1372164357231, true, 0.0, 1
409, 1372164357231, true, 0.0, 1
410, 1372164357231, true, 67.5, -1
411, 1372164357231, true, 67.5, 1
412, 1372164357231, true, 0.0, 1
413, 1372164357231, true, 67.5, 1
414, 1372164357231, true, 67.5, -1
415, 1372164357231, true, 0.0, 1
416, 1372164357231, true, 0.0, 1
417, 1372164357231, true, 0.0, 1
418, 1372164357231, true, 67.5, 1
419, 1372164357231, true, 67.5, 1
420, 1372164357231, true, 0.0, 1
421, 1372164357231, true, 67.5, -1
422, 1372164357231, true, 0.0, 1
423, 1372164357231, true, 67.5, -1
424, 1372164357231, true, 67.5, -1
425, 1372164357231, true, 0.0, 1
426, 1372164357231, true, 67.5, 1
427, 1372164357231, true, 67.5, 1
428, 1372164357231, true, 67.5, 1
429, 1372164357231, true, 67.5, 1
430, 1372164357231, true, 67.5, 1
431, 1372164357231, true, 67.5, 1
432, 1372164357231, true, 0.0, 1
433, 1372164357231, true, 0.0, 1
434, 1372164357231, true, 67.5, -1
435, 1372164357231, true, 67.5, -1
436, 1372164357231, true, 67.5, -1
437, 1372164357231, true, 67.5, 1
438, 1372164357231, true, 0.0, 1
439, 1372164357231, true, 0.0, 1
440, 1372164357231, true, 67.5, -1
441, 1372164357231, true, 67.5, 1
442, 1372164357231, true, 67.5, 1
443, 1372164357231, true, 67.5, 1
444, 1372164357231, true, 67.5, 1
445, 1372164357231, true, 67.5, -1
446, 1372164357231, true, 0.0, 1
447, 1372164357231, true, 0.0, 1
448, 1372164357231, true, 0.0, 1
449, 1372164357231, true, 0.0, 1
