Results of detector B
particle nr, timestamp, detected, detector angle, spin
304, 1372532967666, true, 292.5, 1
305, 1372532967666, true, 202.5, -1
306, 1372532967666, true, 112.5, 1
307, 1372532967666, true, 135.0, 1
308, 1372532967666, true, 90.0, 1
309, 1372532967666, true, 67.5, 1
310, 1372532967666, true, 90.0, -1
311, 1372532967666, true, 202.5, -1
312, 1372532967666, true, 337.5, 1
313, 1372532967666, true, 45.0, -1
314, 1372532967666, true, 90.0, -1
315, 1372532967666, true, 135.0, -1
316, 1372532967666, true, 45.0, 1
317, 1372532967666, true, 292.5, 1
318, 1372532967666, true, 135.0, -1
319, 1372532967666, true, 135.0, -1
320, 1372532967666, true, 180.0, -1
321, 1372532967666, true, 157.5, -1
322, 1372532967666, true, 67.5, 1
323, 1372532967666, true, 225.0, 1
324, 1372532967666, true, 0.0, 1
325, 1372532967666, true, 112.5, -1
326, 1372532967666, true, 337.5, 1
327, 1372532967666, true, 90.0, -1
328, 1372532967666, true, 22.5, 1
329, 1372532967666, true, 45.0, 1
330, 1372532967666, true, 0.0, 1
331, 1372532967666, true, 157.5, -1
332, 1372532967666, true, 135.0, 1
333, 1372532967666, true, 90.0, 1
334, 1372532967666, true, 157.5, -1
335, 1372532967666, true, 337.5, -1
336, 1372532967666, true, 180.0, -1
337, 1372532967666, true, 292.5, -1
338, 1372532967666, true, 315.0, 1
339, 1372532967666, true, 225.0, 1
340, 1372532967666, true, 225.0, -1
341, 1372532967666, true, 135.0, 1
342, 1372532967666, true, 247.5, -1
343, 1372532967666, true, 0.0, 1
344, 1372532967666, true, 292.5, -1
345, 1372532967666, true, 112.5, -1
346, 1372532967666, true, 247.5, -1
347, 1372532967666, true, 90.0, -1
348, 1372532967666, true, 135.0, 1
349, 1372532967666, true, 67.5, -1
350, 1372532967666, true, 225.0, -1
351, 1372532967666, true, 45.0, 1
352, 1372532967666, true, 247.5, 1
353, 1372532967666, true, 202.5, -1
354, 1372532967666, true, 202.5, -1
355, 1372532967666, true, 202.5, 1
356, 1372532967666, true, 67.5, 1
357, 1372532967666, true, 67.5, 1
358, 1372532967666, true, 67.5, 1
359, 1372532967666, true, 90.0, -1
360, 1372532967666, true, 45.0, -1
361, 1372532967666, true, 202.5, -1
362, 1372532967666, true, 45.0, 1
363, 1372532967666, true, 90.0, 1
364, 1372532967666, true, 0.0, 1
365, 1372532967666, true, 135.0, -1
366, 1372532967666, true, 270.0, -1
367, 1372532967666, true, 135.0, 1
368, 1372532967666, true, 270.0, 1
369, 1372532967666, true, 0.0, 1
370, 1372532967666, true, 0.0, 1
371, 1372532967666, true, 337.5, 1
372, 1372532967666, true, 90.0, -1
373, 1372532967666, true, 202.5, -1
374, 1372532967666, true, 90.0, -1
375, 1372532967666, true, 90.0, 1
376, 1372532967666, true, 135.0, -1
377, 1372532967666, true, 270.0, 1
378, 1372532967666, true, 22.5, 1
379, 1372532967666, true, 157.5, -1
380, 1372532967666, true, 225.0, -1
381, 1372532967666, true, 67.5, -1
382, 1372532967666, true, 22.5, 1
383, 1372532967666, true, 67.5, 1
384, 1372532967666, true, 202.5, -1
385, 1372532967666, true, 90.0, -1
386, 1372532967666, true, 180.0, -1
387, 1372532967666, true, 67.5, 1
388, 1372532967666, true, 337.5, 1
389, 1372532967666, true, 112.5, 1
390, 1372532967666, true, 337.5, 1
391, 1372532967666, true, 202.5, -1
392, 1372532967666, true, 292.5, 1
393, 1372532967666, true, 270.0, -1
394, 1372532967666, true, 270.0, -1
395, 1372532967666, true, 180.0, -1
396, 1372532967666, true, 135.0, -1
397, 1372532967666, true, 292.5, 1
398, 1372532967666, true, 292.5, -1
399, 1372532967666, true, 22.5, 1
400, 1372532967666, true, 292.5, 1
401, 1372532967666, true, 180.0, -1
402, 1372532967666, true, 90.0, 1
403, 1372532967666, true, 270.0, 1
404, 1372532967666, true, 202.5, -1
405, 1372532967666, true, 337.5, 1
406, 1372532967666, true, 157.5, -1
407, 1372532967666, true, 247.5, 1
408, 1372532967666, true, 247.5, 1
409, 1372532967666, true, 337.5, 1
410, 1372532967666, true, 22.5, -1
411, 1372532967666, true, 180.0, -1
